,GENEID,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1035,ENSMUSG00000026701,Prdx6,6423.29385116178,0.551464991221766,0.135994476650941,4.05505432869321,5.01226517667685E-05,0.000290806309512
1036,ENSMUSG00000023952,Gtpbp2,1244.02413039005,0.768976929087762,0.189722032307615,4.05317674354735,5.05267999241199E-05,0.000292596973322
1037,ENSMUSG00000026307,Scly,641.72438254669,0.778870619504212,0.192222404176388,4.05192424286558,5.07981146675306E-05,0.000294056962344
1038,ENSMUSG00000026925,Inpp5e,349.625688463402,0.705055824276278,0.174210892399487,4.04713973142103,5.18472935846683E-05,0.000299903699334
1039,ENSMUSG00000021235,Coq6,600.643323772094,0.553942250951273,0.137105384552007,4.04026619932751,5.33905664792652E-05,0.000308248513669
1040,ENSMUSG00000046985,Tapt1,159.057596287733,0.858251808463039,0.212446033665582,4.0398579990156,5.348357314495E-05,0.000308669137099
1041,ENSMUSG00000030172,Erc1,772.621509941357,0.647021556369583,0.16017771474782,4.03939809846981,5.35885433907395E-05,0.000308925750514
1042,ENSMUSG00000041064,Pif1,437.630080152086,0.6120560649346,0.151653837395271,4.03587588317554,5.43989701864735E-05,0.000313479693885
1043,ENSMUSG00000034118,Tpst1,307.508266315374,0.771506146327379,0.191189080822456,4.03530443793399,5.45315439008533E-05,0.000314125482486
1044,ENSMUSG00000024513,Mbd2,3493.96054293561,0.446619642788111,0.110815628208124,4.03029473378349,5.57069579869345E-05,0.000320534739101
1045,ENSMUSG00000029178,Klf3,1394.97965590258,0.820763950311411,0.203675545723416,4.02976188131086,5.58333824027133E-05,0.000321020990339
1046,ENSMUSG00000027452,Acss1,1411.34603941688,1.21847981013179,0.302522439914286,4.02773364672392,5.63170913106966E-05,0.000323559222658
1047,ENSMUSG00000016554,Eif3d,4124.2088106359,0.481909924014117,0.119896940775919,4.01936797465734,5.83544706163474E-05,0.000334636999787
1048,ENSMUSG00000045160,Bola3,1769.58822265474,0.631360819097418,0.157149444192132,4.01758225963251,5.87983127718438E-05,0.000337056046679
1049,ENSMUSG00000050310,Rictor,2380.16254037707,0.499156692520029,0.124412659573776,4.01210531331848,6.0179640573653E-05,0.000344458727454
1050,ENSMUSG00000004748,Mtfp1,197.681702039533,0.874819266875645,0.218066776007954,4.01170358406058,6.02821601479474E-05,0.000344916640637
1051,ENSMUSG00000020419,Hormad2,51.6298138586278,1.50631818854193,0.375562733518942,4.01082976052509,6.05057274953009E-05,0.000345937375157
1052,ENSMUSG00000025209,Peo1,711.89177243659,0.61856455238722,0.154256660978036,4.00996980269977,6.0726513633966E-05,0.000347070152736
1053,ENSMUSG00000020282,Rhbdf1,59.8827303012325,2.1247986586819,0.53057129741854,4.00473728793843,6.20864418054461E-05,0.00035444578052
1054,ENSMUSG00000044894,Uqcrq,2811.52479669808,0.44065959598972,0.110044754478787,4.00436711478752,6.21837337034072E-05,0.000354740631366
1055,ENSMUSG00000028125,Abca4,61.6276943988357,1.47920456185715,0.369407832484837,4.00425879415503,6.22122306932816E-05,0.000354740631366
1056,ENSMUSG00000031546,Gins4,1339.20217864391,0.482067734370733,0.12038980507511,4.00422389645018,6.22214142136608E-05,0.000354740631366
1057,ENSMUSG00000040928,S100pbp,1012.63136217958,0.425978676825871,0.10638327249421,4.00418850481458,6.22307290253524E-05,0.000354740631366
1058,ENSMUSG00000074867,Zfp808,403.96205512814,0.764890689685564,0.191133089442067,4.00187477698573,6.2842557149429E-05,0.000357961862349
1059,ENSMUSG00000017802,Fam134c,495.432633752164,0.529167578131496,0.132252047601369,4.00120518153716,6.30206805952707E-05,0.000358709685871
1060,ENSMUSG00000057580,Gm10012,344.519557796111,1.96026525030629,0.490060014105164,4.00005140979656,6.33287247116239E-05,0.000360329151712
1061,ENSMUSG00000027326,Casc5,14927.8652613387,0.487321523121713,0.121836655452928,3.99979399721778,6.33976451872881E-05,0.000360587349177
1062,ENSMUSG00000029594,Rbm19,858.437816051407,0.674066485516967,0.168653539041338,3.99675268807583,6.42173285980103E-05,0.000364978412666
1063,ENSMUSG00000026131,Dst,513.5693558421,0.818744731042894,0.204892454081283,3.99597308116622,6.44290552326348E-05,0.000366045934347
1064,ENSMUSG00000079553,Kifc1,3685.62399987587,0.68375052918753,0.171180694211151,3.99432034283097,6.48800951266303E-05,0.000368471789787
1065,ENSMUSG00000040746,Rnf167,1501.47803225773,0.587976431581994,0.147259636002115,3.99278748436909,6.53010890949223E-05,0.000370725271189
1066,ENSMUSG00000025757,Hspa4l,2427.12352630898,0.447141529422444,0.112005348137131,3.99214445434334,6.54784635999587E-05,0.000371594526477
1067,ENSMUSG00000030929,Eri2,1525.9099526616,0.515940852766381,0.129256617611091,3.99160106694691,6.56287078861939E-05,0.000372309229145
1068,ENSMUSG00000028702,Rad54l,2328.72048846296,0.499882469467465,0.125288802847417,3.98984153497139,6.61174528125795E-05,0.000374942993236
1069,ENSMUSG00000049878,Rlf,3991.91289685024,0.373254842619323,0.093569860544998,3.9890498975343,6.63384675224705E-05,0.000376057108454
1070,ENSMUSG00000038126,Mphosph9,1204.55485423356,0.501031402997293,0.125644450959796,3.98769224720967,6.67191341306118E-05,0.000377795555445
1071,ENSMUSG00000028333,Anp32b,17247.6862616146,0.424622966669259,0.106488144527675,3.98751399559699,6.67692666920391E-05,0.000377939710984
1072,ENSMUSG00000027378,Nphp1,373.959433701753,0.901081635079052,0.22598912952682,3.98727866674716,6.68355065990802E-05,0.000378174900103
1073,ENSMUSG00000020481,Ankrd36,32.4237222074779,2.59395418608534,0.651104187200468,3.98393104679373,6.77845483101048E-05,0.000382978947424
1074,ENSMUSG00000056394,Lig1,8605.71310260377,0.372909804226357,0.093613370060479,3.98351009033687,6.79047869762813E-05,0.000383516822314
1075,ENSMUSG00000069917,Hba-a2,57282.3854461686,0.633489982177007,0.159056522868726,3.98279788059898,6.81086766124464E-05,0.000384526575626
1076,ENSMUSG00000055491,Pprc1,4161.47624287683,0.471030082075551,0.118306479549535,3.98143942638687,6.84991786968501E-05,0.000386446379411
1077,ENSMUSG00000027589,Pcmtd2,567.576164435696,0.481781532658689,0.121057278432516,3.97978162814276,6.89786006833119E-05,0.000388864639921
1078,ENSMUSG00000028295,Smim8,208.676983107837,0.797788972743563,0.200467887740385,3.97963475215909,6.90212287927863E-05,0.00038896179596
1079,ENSMUSG00000039929,Urb1,1884.67199554614,0.606874246372623,0.152517035946535,3.97905874977379,6.91886437745823E-05,0.000389761845052
1080,ENSMUSG00000026048,Ercc5,776.157063014015,0.5819409873494,0.14633617409806,3.97674048085637,6.9866340988422E-05,0.00039314575493
1081,ENSMUSG00000025199,Chuk,3183.52502577232,0.421076664754728,0.105946579974767,3.974424326439,7.05496881517007E-05,0.000396643218059
1082,ENSMUSG00000054874,Pcnxl3,1941.69247028395,0.472211667646497,0.11881419619529,3.97437076349312,7.05655656598531E-05,0.000396643218059
1083,ENSMUSG00000041740,Rnf10,5689.30906494993,0.650363286862567,0.163664179235342,3.97376683096533,7.07448217099765E-05,0.000397504928148
1084,ENSMUSG00000050549,5730508B09Rik,638.920828748137,0.860982706725512,0.216732852906726,3.97255282334168,7.1106461108852E-05,0.000399390416137
1085,ENSMUSG00000080848,Gm9385,1444.90354454418,0.881572858805694,0.222197380581007,3.96752138346787,7.26239977595013E-05,0.000407316650927
1086,ENSMUSG00000050721,Plekho2,907.615541195621,0.450804253741064,0.113767618661391,3.96250056954082,7.41688301578438E-05,0.000415524495804
1087,ENSMUSG00000025395,Prim1,4744.46771606369,0.471504901081108,0.118995533951209,3.96237476672389,7.42079341098142E-05,0.000415591563715
1088,ENSMUSG00000021597,Ankrd32,1691.19565376565,0.628887271557074,0.158733374704762,3.96190953998666,7.43527124277733E-05,0.000416076117491
1089,ENSMUSG00000032348,Gsta4,294.024145675215,1.305092785005,0.329492226444722,3.96092132153519,7.4661132336562E-05,0.000417437650411
1090,ENSMUSG00000042305,Tmem183a,1454.60594033534,0.361003251581387,0.091142167416241,3.96088069677678,7.46738370520028E-05,0.000417437650411
1091,ENSMUSG00000016018,Skiv2l2,7387.93356535571,0.304113686272558,0.07681563529599,3.95900763042225,7.52618325619585E-05,0.000420571138034
1092,ENSMUSG00000030872,Gga2,3041.24787919292,0.533368201173135,0.134793847764962,3.9569179900789,7.5922981433744E-05,0.000424022399552
1093,ENSMUSG00000098789,Jmjd7,189.891015645248,0.799064617734976,0.2020089115366,3.95559092743392,7.63457029344539E-05,0.000426161491198
1094,ENSMUSG00000068874,Selenbp1,1519.79476996712,0.537294216703498,0.135877715822771,3.95424822569364,7.67756704604176E-05,0.000428405444241
1095,ENSMUSG00000026657,Frmd4a,1611.01298346175,0.857075813386934,0.21677717993978,3.95371788499614,7.69461291065029E-05,0.000429200240176
1096,ENSMUSG00000039840,Epg5,1338.0561607445,0.463402234104155,0.117417298337617,3.94662661009036,7.92600172165587E-05,0.000441479766184
1097,ENSMUSG00000000127,Fer,945.354488213382,0.612923441507123,0.155303463006087,3.94661799320662,7.92628685125771E-05,0.000441479766184
1098,ENSMUSG00000026037,Orc2,5486.73352993211,0.545441525832744,0.13841561199722,3.94060697317653,8.12756962784373E-05,0.00045186927038
1099,ENSMUSG00000024592,C330018D20Rik,219.378998355058,0.977807588409559,0.248527660213512,3.93440145684193,8.34042784358314E-05,0.000463031291338
1100,ENSMUSG00000041912,Tdrkh,74.6536680307741,2.61989200122203,0.66597711397679,3.93390695601791,8.35761466920816E-05,0.000463817332928
1101,ENSMUSG00000039834,Zfp335,1022.27272230637,0.483665516859001,0.123059449393966,3.93034032933613,8.48257094079905E-05,0.000470240821933
1102,ENSMUSG00000048878,Hexim1,1151.19002787408,0.55394223652192,0.141191768563287,3.92333237382478,8.73325358145096E-05,0.000482914242264
1103,ENSMUSG00000051727,Kctd14,111.723329129149,0.969176605498636,0.247097576795387,3.922242452022,8.77286471520322E-05,0.000484929515853
1104,ENSMUSG00000027306,Nusap1,4352.7112507036,0.509277389809103,0.129857371323384,3.92182118441972,8.78822031806576E-05,0.000485603068585
1105,ENSMUSG00000042155,Klhl23,1311.51251029105,0.515226855948851,0.131437853524912,3.9199274952493,8.85756124680137E-05,0.000488905461684
1106,ENSMUSG00000029925,Tbxas1,284.987989271342,1.1529669279028,0.294276535351012,3.9179709878246,8.92974505669725E-05,0.000492712193924
1107,ENSMUSG00000042535,Gtpbp1,914.941438429002,0.4676299094269,0.119390908714203,3.91679663437615,8.97333841099832E-05,0.000494939230973
1108,ENSMUSG00000030722,Nfatc2ip,327.546001088633,0.78657825918477,0.200829854048205,3.91664009772156,8.97916439356203E-05,0.000495082293075
1109,ENSMUSG00000082938,Gm2810,374.00036200077,0.796507488526207,0.203419251106454,3.91559542272316,9.01813670531679E-05,0.00049687338099
1110,ENSMUSG00000054428,Atpif1,9672.58906052639,0.545846036618366,0.13946583776991,3.91383327520609,9.08423711826186E-05,0.000499975781317
1111,ENSMUSG00000019986,Ahi1,769.556705749218,0.795775957268853,0.203345315218363,3.91342164147872,9.09974382984796E-05,0.000500289936259
1112,ENSMUSG00000032802,Srxn1,75.8681695974487,1.20124323972495,0.307123117860066,3.91127586908737,9.18098320475411E-05,0.000504575241289
1113,ENSMUSG00000035572,Dcaf10,906.581581241387,0.599177475839543,0.153561893080815,3.90186304569853,9.54551626491924E-05,0.000523670030909
1114,ENSMUSG00000038949,Cnst,770.646219578765,0.449254961972721,0.115166205638882,3.90092700788821,9.58250426900841E-05,0.000525020952251
