"","GENEID","GENENAME","1_EKLF_GFP","2_EKLF_GFP","9_EKLF_GFP","3_minus","4_minus","10_minus"
"ENSMUSG00000019080","ENSMUSG00000019080","Mfsd3",59.0412523626487,42.5674928172545,60.1920735091634,77.54267156839,71.1763980690624,73.3943501492966
"ENSMUSG00000019082","ENSMUSG00000019082","Slc25a22",110.664866472182,70.17605085318,100.828887653137,130.051498253478,116.50183916509,54.4055505800367
"ENSMUSG00000019087","ENSMUSG00000019087","Atp6ap1",2670.93905376202,2371.04416933101,2735.7794272937,2800.80329792466,3063.1470877318,2518.96780415738
"ENSMUSG00000019088","ENSMUSG00000019088","Dnase1l1",441.542425295155,466.010846821549,387.329095891431,258.937033306892,249.324632431359,178.411622840635
"ENSMUSG00000019122","ENSMUSG00000019122","Ccl9",165.312230880124,187.639406822249,203.703733423478,559.849346546204,434.092695028458,515.124160220974
"ENSMUSG00000019124","ENSMUSG00000019124","Scrn1",0,0,2.11200257926889,5.538762254885,4.50483532082674,1.0954380619298
"ENSMUSG00000019132","ENSMUSG00000019132","BC005537",4128.10902627893,3889.37569022672,4728.83066211488,4949.03419647823,4999.9692364674,4417.15875983666
"ENSMUSG00000019139","ENSMUSG00000019139","Isyna1",1888.36779734085,1330.5070190829,1281.98556561622,1687.47623365496,1730.75773026163,1537.99503894944
"ENSMUSG00000019143","ENSMUSG00000019143","Hars2",929.602761663576,1004.67738631964,989.066963068177,909.109881435446,589.205260184853,700.690874704921
"ENSMUSG00000019158","ENSMUSG00000019158","Tmem160",10.4750609030506,37.1101219432475,8.44801031707557,22.15504901954,28.8309460532911,7.6680664335086
"ENSMUSG00000019173","ENSMUSG00000019173","Rab5c",2118.26148572399,1807.07938295173,1857.47189864585,1805.52026867865,1931.38899093674,1534.0681136349
"ENSMUSG00000019178","ENSMUSG00000019178","Styxl1",2.5722235112931,1.35987004193846,0,0,5.37200252222225,4.09442597252982
"ENSMUSG00000019179","ENSMUSG00000019179","Mdh2",5986.79571555573,5997.11387313384,5567.50545144092,5298.33248201764,5822.14227773636,4938.58796235613
"ENSMUSG00000019188","ENSMUSG00000019188","H13",1300.04085904205,1033.45243440762,999.002846310933,2007.24848249767,2029.58304883101,1770.99114871757
"ENSMUSG00000019189","ENSMUSG00000019189","Rnf145",3577.4652339646,3524.66366503505,3756.38849078606,2163.65700779946,2386.21221083007,2152.97497733006
"ENSMUSG00000019210","ENSMUSG00000019210","Atp6v1e1",2559.7239734,2477.64637679917,2494.27504611656,2108.42216502622,2371.34531288319,2164.58561037328
"ENSMUSG00000019214","ENSMUSG00000019214","Chtf18",1024.48739071505,1023.97612573521,1024.7332202854,543.780191114647,857.346847060462,892.616188920907
"ENSMUSG00000019254","ENSMUSG00000019254","Ppp1r12c",623.295713687002,849.647114034785,862.859829719863,822.004310264666,690.79452935303,776.200369521683
"ENSMUSG00000019256","ENSMUSG00000019256","Ahr",176.831572205767,161.623596485758,170.002741141861,288.253562153435,253.642667800286,222.606245302985
"ENSMUSG00000019261","ENSMUSG00000019261","Map1s",385.672696885044,300.155398070384,327.360399786678,418.176550243817,427.95935547854,312.199847649993
"ENSMUSG00000019295","ENSMUSG00000019295","Tmem129",220.033973225814,176.874597733303,188.70145490973,160.460791460113,187.525239961677,148.336678075469
"ENSMUSG00000019297","ENSMUSG00000019297","Nop9",2020.73447602485,1910.07980590245,1907.13832907981,1525.00587417834,1660.48229925673,1542.37679119716
"ENSMUSG00000019301","ENSMUSG00000019301","Hsd17b1",0.95227826391369,3.27442252440419,5.28000644817223,20.3087949345783,13.5145059624802,25.1950754243854
"ENSMUSG00000019302","ENSMUSG00000019302","Atp6v0a1",4072.31242525479,5876.95628305245,5179.65494195168,2040.85474230531,2446.23368816529,2587.44236219751
"ENSMUSG00000019303","ENSMUSG00000019303","Psmc3ip",459.148933677608,485.989412240273,437.674661009803,358.559157743971,408.69241801096,421.652637206552
"ENSMUSG00000019312","ENSMUSG00000019312","Grb7",11.9530274475451,15.8453215562736,28.5207330690405,18.1909357526489,16.5012187161308,25.2427675536618
"ENSMUSG00000019320","ENSMUSG00000019320","Noxo1",7.01845757530107,5.04193135506386,1.47525782578267,22.9680667722163,3.77669213155986,17.4897105210269
"ENSMUSG00000019326","ENSMUSG00000019326","Aoc3",15.7567569807293,24.7885280489513,15.9589714958348,2.84506588426105,8.19713766893556,6.61948843359792
"ENSMUSG00000019338","ENSMUSG00000019338","Zfp687",1095.18961227584,832.54957994001,876.360591658414,1414.5406278156,1086.77298980263,1004.77713769109
"ENSMUSG00000019359","ENSMUSG00000019359","Gdpd2",4.53924769040839,5.84310930542018,6.88082962211697,10.4022342644636,5.8120644162732,7.99360786732318
"ENSMUSG00000019362","ENSMUSG00000019362","D8Ertd738e",1010.36723801242,1261.74414607042,1181.66544310094,790.196748363593,879.343854625379,1206.07730618471
"ENSMUSG00000019368","ENSMUSG00000019368","Sec14l4",7.73588367362781,9.01379703551472,0,0.744846365353839,0.726966075269115,3.00966560292321
"ENSMUSG00000019370","ENSMUSG00000019370","Calm3",4205.75921156227,3885.84050112604,3979.91023530511,3971.09938749635,4242.98040795557,3797.83701421914
"ENSMUSG00000019373","ENSMUSG00000019373","Cops3",8086.72665485599,6906.44108286319,6973.51438793328,6640.52205312221,6917.76664336098,6432.26009447582
"ENSMUSG00000019428","ENSMUSG00000019428","Fkbp8",1818.20569425773,1491.01060327097,1784.46121451807,1878.85093833032,1678.27849722323,1242.2500067273
"ENSMUSG00000019432","ENSMUSG00000019432","Ddx39b",6351.08857676384,6498.18435683682,6233.31362606433,5954.84636853753,6115.49948901499,5657.43783798749
"ENSMUSG00000019433","ENSMUSG00000019433","Gipc1",302.824487924553,309.978665643597,359.040438475712,482.795443217476,430.662256671036,502.806070425778
"ENSMUSG00000019437","ENSMUSG00000019437","Tlcd1",1821.89819035221,1976.18810820723,1787.46246067776,703.244231394413,788.833586096696,594.613411677858
"ENSMUSG00000019461","ENSMUSG00000019461","Plscr3",601.200363729104,519.034037519555,519.70031825728,1130.51948598168,934.123860953759,1186.84144909254
"ENSMUSG00000019464","ENSMUSG00000019464","Ptger1",3.10694332889,2.37405986223531,3.44535445831236,4.01577776166167,4.89735046762975,1.72871731362666
"ENSMUSG00000019467","ENSMUSG00000019467","Arhgef25",105.374166195132,205.542045227668,176.882456695049,51.074221726861,0,36.364645745414
"ENSMUSG00000019470","ENSMUSG00000019470","Xab2",2039.73674545441,1897.77723720936,2026.65706325928,1853.5520590471,1920.79220002903,1687.51800866151
"ENSMUSG00000019471","ENSMUSG00000019471","Cdc37",1396.99221316138,1190.79832470832,1306.27359527781,1158.52443831345,1291.98677001311,1115.15594704454
