"GENEID","GENENAME","EKLF_GFP_log2","EKLF_minus_log2"
"ENSMUSG00000031765","Mt1",12.6520351518029,11.8254795482364
"ENSMUSG00000031767","Nudt7",7.74159159232219,7.58517910796915
"ENSMUSG00000031770","Herpud1",9.724765569668,10.2306822385188
"ENSMUSG00000031774","Fam192a",8.27070606973877,8.02357382915721
"ENSMUSG00000031776","Arl2bp",5.74014817431669,5.45163362265981
"ENSMUSG00000031778","Cx3cl1",-2.27345046780044,3.50200453262477
"ENSMUSG00000031780","Ccl17",1.45825248048462,1.57384428330931
"ENSMUSG00000031781","Ciapin1",10.0383361366262,9.74666092341018
"ENSMUSG00000031782","Coq9",8.6756567860978,8.44865122232349
"ENSMUSG00000031783","Polr2c",8.44344745927689,8.10397477708902
"ENSMUSG00000031785","Gpr56",9.30785182998212,8.77791460325347
"ENSMUSG00000031786","Drc7",2.56766226171153,4.83224139583111
"ENSMUSG00000031787","Katnb1",8.6171443821645,8.1904813488729
"ENSMUSG00000031788","Kifc3",-Inf,2.91281264898083
"ENSMUSG00000031790","Mmp15",2.21059497810686,4.15688514632969
"ENSMUSG00000031791","Tmem38a",2.29137628115688,2.8675036067745
"ENSMUSG00000031792","Usb1",7.54619827634576,8.34357274127025
"ENSMUSG00000031796","Cfap20",4.10858713828468,-Inf
"ENSMUSG00000031799","Tpm4",9.8226500530737,10.8622835931833
"ENSMUSG00000031803","B3gnt3",5.21128181973552,4.57915478231892
"ENSMUSG00000031805","Jak3",7.98406374355779,9.7961635236785
"ENSMUSG00000031807","Pgls",9.28185837796251,9.81722181153312
"ENSMUSG00000031812","Map1lc3b",10.3866101818249,9.81980535202865
"ENSMUSG00000031813","Mvb12a",7.95408449240518,8.62473189384759
"ENSMUSG00000031816","Mthfsd",8.72963619822695,8.35822731669375
"ENSMUSG00000031818","Cox4i1",12.4369572447196,12.2392418038233
"ENSMUSG00000031819","Emc8",9.05682223420782,8.88091471123725
"ENSMUSG00000031820","Babam1",9.15282709851565,9.07085419803373
"ENSMUSG00000031821","Gins2",9.39938164662587,9.34184036097423
"ENSMUSG00000031822","Gse1",11.138257653521,10.312916750046
"ENSMUSG00000031823","Zdhhc7",9.18905209021477,8.98543626078965
"ENSMUSG00000031824","6430548M08Rik",5.384630366887,7.16695291078176
"ENSMUSG00000031825","Crispld2",1.96577382995737,6.34402601014409
"ENSMUSG00000031826","Usp10",11.9273713151254,11.5767881574403
"ENSMUSG00000031827","Cotl1",7.99542903158108,9.49173044739502
"ENSMUSG00000031828","Klhl36",5.43263254323212,6.72589784100705
"ENSMUSG00000031831","Dnaaf1",2.44288609598678,1.57026012126849
"ENSMUSG00000031832","Taf1c",8.34228183602885,7.66085126361026
"ENSMUSG00000031833","Mast3",4.62473651318158,4.69098599111151
"ENSMUSG00000031834","Pik3r2",9.14285705884153,8.60284468232966
"ENSMUSG00000031835","Mbtps1",11.627140552922,11.6619028904037
"ENSMUSG00000031839","Hsbp1",6.82562589213449,6.76383313063656
"ENSMUSG00000031840","Rab3a",4.98469868714194,0.34326032460345
"ENSMUSG00000031842","Pde4c",1.83719777824163,2.90478715226207
"ENSMUSG00000031843","Mphosph6",10.6727457631884,10.2917622471009
"ENSMUSG00000031844","Hsd17b2",5.21831035105787,4.87736395060121
"ENSMUSG00000031845","Bco1",4.80581380713482,4.31654611519442
"ENSMUSG00000031847","1700030J22Rik",1.59960584901536,1.97920586002681
"ENSMUSG00000031848","Lsm4",9.45805641601273,9.38424006172979
"ENSMUSG00000031849","Comp",2.5534236840493,2.58237189729644
"ENSMUSG00000031851","Ntpcr",7.49515096380833,7.7641278635355
"ENSMUSG00000031858","Mau2",7.35169827123974,7.05774017658353
"ENSMUSG00000031860","Pbx4",5.32315823649324,5.02145583018979
"ENSMUSG00000031861","Lpar2",3.41904494046464,5.19496829371323
"ENSMUSG00000031862","Atp13a1",10.0552074495482,10.0161202961694
"ENSMUSG00000031864","Ints10",10.7033996265781,10.7227575422745
"ENSMUSG00000031865","Dctn1",11.0758797948271,10.8715304886383
"ENSMUSG00000031871","Cdh5",8.89381626392251,8.91541505063521
"ENSMUSG00000031875","Cmtm3",2.20690477973953,2.51562154561051
"ENSMUSG00000031877","Ces2g",10.3763692176279,8.98532560265505
"ENSMUSG00000031878","Nae1",10.8347530812384,10.4112385148767
"ENSMUSG00000031879","Fam96b",9.57172181566665,9.16049305169416
"ENSMUSG00000031880","Rrad",2.12354495769603,3.88603747334873
"ENSMUSG00000031883","Car7",1.18093217025032,2.52260457860771
"ENSMUSG00000031885","Cbfb",8.64693137654435,10.8982854843166
"ENSMUSG00000031886","Ces2e",0.806593305854468,1.32016643635403
"ENSMUSG00000031887","Tradd",6.63967428251381,6.50611317157367
"ENSMUSG00000031889","D230025D16Rik",10.4854253728226,10.5755596106585
"ENSMUSG00000031891","Hsd11b2",1.45203079318105,0.867180161349981
"ENSMUSG00000031893","Tsnaxip1",2.09866433220856,0.131507914019694
"ENSMUSG00000031896","Ctrl",4.2171857991006,3.63086171761053
"ENSMUSG00000031897","Psmb10",6.12326807600287,7.97909506955326
"ENSMUSG00000031901","Dus2",9.23863323979608,8.57654021425194
"ENSMUSG00000031902","Nfatc3",6.9658484355222,6.64405954002599
"ENSMUSG00000031903","Pla2g15",7.14210520317911,8.56859145491652
"ENSMUSG00000031904","Slc7a6",3.45335638004761,4.43017938317994
"ENSMUSG00000031913","Vps4a",9.9314336305855,9.71171844311027
"ENSMUSG00000031916","Cog8",10.1246850790984,9.69567406257366
"ENSMUSG00000031917","Nip7",10.5185684949122,10.4202372532686
"ENSMUSG00000031918","Mtmr2",11.0067323922989,11.3988804967868
"ENSMUSG00000031921","Terf2",9.8729307602893,9.82289901107002
"ENSMUSG00000031922","Cep57",11.008954420261,10.5710895344767
"ENSMUSG00000031924","Cyb5b",8.72630934846398,9.0693563342788
"ENSMUSG00000031925","Maml2",6.71117151237343,6.69568592957401
"ENSMUSG00000031928","Mre11a",11.6556133262251,11.1871966254882
"ENSMUSG00000031930","Wwp2",6.04246225671248,6.22076776694859
"ENSMUSG00000031931","Ankrd49",4.74872035480275,3.96782735103362
"ENSMUSG00000031934","Panx1",7.05565498252358,8.44450338604254
"ENSMUSG00000031935","Med17",9.74728303570725,9.76144285099432
"ENSMUSG00000031937","Vstm5",2.36250008159502,1.32867705848455
"ENSMUSG00000031938","4931406C07Rik",6.53507319643309,7.73910099261806
"ENSMUSG00000031939","Taf1d",10.8003448053788,10.8673195465034
"ENSMUSG00000031948","Kars",12.6542957636133,12.5799233743594
"ENSMUSG00000031949","Adat1",8.61314364832714,8.35840617467967
"ENSMUSG00000031950","Gabarapl2",10.2561746898,9.42341282670943
"ENSMUSG00000031951","Tmem231",5.84922426478388,5.04404630994158
"ENSMUSG00000031953","Tmem170",6.33977087307643,5.31505959446182
"ENSMUSG00000031954","Cfdp1",11.43133069921,10.9798468184207
"ENSMUSG00000031955","Bcar1",1.92945510817218,4.46838277352174
"ENSMUSG00000031959","Wdr59",6.19883139053816,6.16485882699364
"ENSMUSG00000031960","Aars",13.0917531482111,12.5607467036806
"ENSMUSG00000031962","Cdh15",-0.553742048608262,1.46184692753875
"ENSMUSG00000031965","Tbx20",1.93602714716594,1.12555421426308
"ENSMUSG00000031967","Afg3l1",10.7848697620012,10.8008704329438
"ENSMUSG00000031969","Acad8",8.41707413676747,8.86711473234107
"ENSMUSG00000031971","Ccsap",6.81430324789942,6.47586343610103
"ENSMUSG00000031972","Acta1",4.59664039489967,2.43779162938563
"ENSMUSG00000031974","Abcb10",12.4612883104099,10.9643164980057
"ENSMUSG00000031976","Urb2",11.6736074360961,11.5106119512909
"ENSMUSG00000031979","Cog2",9.46692406807404,9.54598754451852
"ENSMUSG00000031980","Agt",4.69505427398743,4.77207755345883
"ENSMUSG00000031982","Arv1",6.84257473414447,6.71962154150248
"ENSMUSG00000031983","2310022B05Rik",7.24436313618929,6.50687546129924
"ENSMUSG00000031984","2810004N23Rik",9.89459585171668,9.61363939411676
"ENSMUSG00000031985","Gnpat",11.265804602028,11.2873294095163
"ENSMUSG00000031986","Sprtn",9.06363745711448,8.87422436764719
"ENSMUSG00000031987","Egln1",8.39687730879851,8.76207575561907
"ENSMUSG00000031988","Vps26b",8.82545273429046,9.09157507982875
"ENSMUSG00000031990","Jam3",4.01622155392021,5.52873422546063
"ENSMUSG00000031993","Snx19",9.36236027971001,9.33113157890296
"ENSMUSG00000031995","St14",6.66259961413786,6.77904724707724
"ENSMUSG00000031996","Aplp2",9.95446440417691,9.26775624902691
"ENSMUSG00000031997","Trpc6",7.84940705303119,7.16924145244933
"ENSMUSG00000032000","Birc3",8.49637707620717,9.58386506357186
"ENSMUSG00000032002","Dcun1d5",11.3702814679278,11.1301068652975
"ENSMUSG00000032006","Pdgfd",3.4190460850442,3.06519704118979
"ENSMUSG00000032009","Sesn3",4.95742009864097,6.43260779514611
"ENSMUSG00000032010","Usp2",5.7391157442321,6.50987603742614
"ENSMUSG00000032011","Thy1",0.446257951391738,2.74394655092665
"ENSMUSG00000032012","Pvrl1",4.47916677285455,4.49943636806662
"ENSMUSG00000032014","Oaf",7.03625355882207,6.55731068151619
"ENSMUSG00000032017","Grik4",1.45825248048462,2.23068749802788
"ENSMUSG00000032018","Sc5d",8.20998013065378,8.4936911006923
"ENSMUSG00000032020","Ubash3b",8.41998835173969,8.70295571347235
"ENSMUSG00000032023","4931429I11Rik",1.74939474009994,1.2263345830837
"ENSMUSG00000032024","Clmp",0.733830944668199,3.43636662511391
"ENSMUSG00000032026","Rexo2",11.5294918175169,11.0088261738239
"ENSMUSG00000032028","Nxpe2",13.1458175136446,11.7667663574196
"ENSMUSG00000032030","Cul5",11.1932439659872,10.8897283136213
"ENSMUSG00000032034","Kcnj5",3.48050800700873,3.49424700485846
"ENSMUSG00000032035","Ets1",7.05723114807829,8.94523071435171
"ENSMUSG00000032038","St3gal4",9.4760384282258,9.02127688878355
"ENSMUSG00000032040","Dcps",10.159547117011,10.216874121051
