"","GENEID","GENENAME","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2354","ENSMUSG00000044712","Slc38a6",332.887088574789,-0.972070123883915,0.22121752182102,-4.39418232281972,1.11190469595107e-05,7.23493807471644e-05
"2355","ENSMUSG00000021453","Gadd45g",147.481071101285,1.26237798878608,0.287324484696196,4.39356217804013,1.11508277015274e-05,7.25253621674292e-05
"2356","ENSMUSG00000040782","Rfwd2",13171.1059140289,0.355882672760256,0.0810150092256062,4.39279926228501,1.11900440441144e-05,7.27495350694825e-05
"2357","ENSMUSG00000026970","Rbms1",1294.11023271667,-0.706135207220521,0.160773406337167,-4.39211448776326,1.12253557741026e-05,7.29481435689138e-05
"2358","ENSMUSG00000018565","Elp5",1207.47960593535,0.586723024286607,0.133661667254687,4.38961324018673,1.13552435574207e-05,7.37609268740513e-05
"2359","ENSMUSG00000031145","Prickle3",66.0785182462668,-1.44305974528989,0.328831349159613,-4.38844942545133,1.14161674480424e-05,7.41252381524649e-05
"2360","ENSMUSG00000031697","Orc6",2198.92641916262,0.454539363301099,0.103682236132521,4.3839656652479,1.16538148791528e-05,7.56362213999928e-05
"2361","ENSMUSG00000024608","Rps14",9833.17138032068,0.346879106931303,0.0791625853750129,4.3818567229462,1.17672185606271e-05,7.63398927120398e-05
"2362","ENSMUSG00000043789","Vwce",79.4430482771243,1.24037985922445,0.28312955703995,4.38096210156337,1.1815642335383e-05,7.66215891833452e-05
"2363","ENSMUSG00000059811","Atl2",1690.6681322146,0.544913525126333,0.124420378606955,4.37961635567528,1.18888428270347e-05,7.70636502673257e-05
"2364","ENSMUSG00000031934","Panx1",240.705410879577,-1.39477919732946,0.31864663358086,-4.37719734131609,1.20215122559979e-05,7.78906528025041e-05
"2365","ENSMUSG00000054499","Dedd2",195.466281671196,0.839525690346439,0.191887960279884,4.37508267387867,1.21386463597496e-05,7.86163409269702e-05
"2366","ENSMUSG00000028826","Tmem57",1247.69541226581,0.57805970027208,0.132209956104022,4.37228569849359,1.22952482803983e-05,7.95969221939397e-05
