""	"id"	"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"NA.257"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.258"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.259"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.260"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.261"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.262"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.263"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.264"	NA	NA	NA	NA	NA	NA	NA	NA
"760"	"2400001E08Rik"	975.916491978054	767.365123503168	1184.46786045294	1.54355185579144	0.62625395126303	0.000297590121068726	0.00551658069241173
"NA.265"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.266"	NA	NA	NA	NA	NA	NA	NA	NA
"788"	"2410066E13Rik"	22.9021079073073	5.92645011726849	39.8777656973461	6.72877775198854	2.75034447046929	2.69099914388497e-07	1.26351037658794e-05
"790"	"2410076I21Rik"	168.943256144038	133.330778991289	204.555733296786	1.53419739121265	0.617484113220959	0.00331536357043228	0.035426073886189
"NA.267"	NA	NA	NA	NA	NA	NA	NA	NA
"793"	"2410091C18Rik"	420.817188853328	339.671882140693	501.962495565963	1.47778642259841	0.563437778737708	0.00260698048944262	0.0294994398294081
"NA.268"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.269"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.270"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.271"	NA	NA	NA	NA	NA	NA	NA	NA
"804"	"2510003D18Rik"	46.5409268158379	83.2571987137405	9.82465491793526	0.118003668988611	-3.08309637810207	3.70535476852498e-16	5.38979709353911e-14
"805"	"2510003E04Rik"	557.563563039263	457.295246475376	657.831879603151	1.43852770102777	0.524593002620898	0.00334272293186327	0.035633979622942
"815"	"2610002J02Rik"	267.638667263704	204.064314197729	331.213020329678	1.62308153501424	0.698735475059078	0.000539301265878052	0.00882702081002035
"NA.272"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.273"	NA	NA	NA	NA	NA	NA	NA	NA
"832"	"2610029I01Rik"	354.997172507097	282.286922203073	427.70742281112	1.51515139090798	0.599461952114219	0.00110799328749591	0.0156306700794687
"NA.274"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.275"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.276"	NA	NA	NA	NA	NA	NA	NA	NA
"875"	"2700081O15Rik"	361.315513942709	506.844284642226	215.786743243192	0.425745637825456	-1.23193634670949	2.43068855002159e-08	1.40071339861788e-06
"NA.277"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.278"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.279"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.280"	NA	NA	NA	NA	NA	NA	NA	NA
"917"	"2810428I15Rik"	568.740259612084	395.91559294542	741.564926278748	1.87303793912704	0.905380122237709	0.00195831871594923	0.023834139459903
"919"	"2810432D09Rik"	385.412929294298	270.48769902489	500.338159563707	1.84976308115833	0.88734050126801	0.000353449789664805	0.00627477741750403
"924"	"2810453I06Rik"	397.407439181485	526.789321264159	268.025557098812	0.508790794117882	-0.974855527646837	2.23348641290735e-07	1.0657511753865e-05
"NA.281"	NA	NA	NA	NA	NA	NA	NA	NA
"930"	"2900002K06Rik"	95.8626786097497	119.780599883755	71.9447573357441	0.600637811177812	-0.735432797012487	0.003371804392404	0.0358343062606419
"936"	"2900011O08Rik"	7.08872949320998	1.39675401995201	12.7807049664679	9.15029044763878	3.19381753801063	0.000453396781565463	0.0076429137842021
"NA.282"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.283"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.284"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.285"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.286"	NA	NA	NA	NA	NA	NA	NA	NA
