Gene_id	EKLF+/+ rep1	EKLF+/+ rep2	EKLF+/+ rep3	EKLF-/- rep1	EKLF-/- rep2	EKLF-/- rep3
Map2k3	1974	2690	2213	3142	2934	2742
Map2k4	1233	1525	1359	1635	1177	1255
Map2k5	368	515	358	486	523	427
Map2k6	116	177	134	173	141	117
Map2k7	784	1118	802	1064	802	974
Map3k1	979	1448	1145	913	603	1025
Map3k10	185	271	218	348	396	316
Map3k11	1090	1603	1142	1362	1264	1152
Map3k12	1945	2523	2081	2358	3187	2636
Map3k13	17	25	20	23	8	16
Map3k14	33	76	33	73	92	54
Map3k15	960	1211	1044	1024	1111	1056
Map3k2	352	536	394	496	256	376
Map3k3	561	834	496	665	504	572
Map3k4	587	814	657	824	614	688
Map3k5	245	444	254	386	306	327
Map3k6	131	190	138	117	133	112
Map3k7	1241	1736	1395	1343	950	1112
Map3k8	27	48	37	39	49	41
Map3k9	64	156	75	102	48	87
Map4k1	641	882	575	836	905	782
Map4k2	472	706	468	610	489	582
Map4k3	79	109	88	91	80	92
Map4k4	905	1609	873	1015	800	877
Map4k5	807	1134	1108	438	250	337
Map6d1	3	5	8	3	1	5
Mapk1	3638	4884	4300	4595	3245	4172
Mapk10	0	1	1	1	0	0
Mapk11	6	5	5	8	6	10
Mapk12	12	10	11	9	21	9
Mapk13	122	235	104	236	303	243
Mapk14	2486	3698	2580	2988	2478	2569
Mapk15	0	1	1	2	1	2
Mapk1ip1	41	73	48	82	111	112
Mapk1ip1l	1648	2255	1682	1877	1126	1433
Mapk3	866	1319	940	1525	2026	1588
Mapk4	9	10	12	11	13	10
Mapk6	1189	1850	1119	1559	955	1173
Mapk7	268	412	261	333	364	328
Mapk8	354	453	432	342	279	337
Mapk8ip1	12	29	7	16	8	13
Mapk8ip2	1	0	0	1	0	1
Mapk8ip3	936	1183	781	830	577	787
Mapk9	830	1080	930	1360	1049	1222
Mapkap1	600	802	656	953	853	857
Mapkapk2	1598	2575	1652	2664	2770	2498
Mapkapk3	956	1475	906	1353	1138	1286
Mapkapk5	588	723	574	532	662	576
Mapkbp1	134	200	134	201	115	147
Mapre1	3276	4594	3962	5020	3923	4234
Mapre2	1028	1434	1042	1154	989	1030
Mapre3	2	12	4	16	16	7
Mapt	14	18	11	10	5	1
March1	45	110	84	112	76	100
March10	0	1	0	0	0	0
March11	0	0	0	0	0	0
March2	1589	2261	2104	2802	2669	2709
March3	474	675	630	387	330	403
March4	0	0	0	0	1	0
March5	1573	2073	2055	1940	1870	1900
March6	1795	2596	1986	2693	1380	2024
March7	544	783	700	687	418	595
March8	2502	3149	3095	2110	1183	1606
March9	3	2	0	2	5	1
Marcks	513	873	785	683	986	669
Marcksl1	938	1419	863	993	1125	926
Marcksl1-ps4	2	1	4	4	6	5
Marco	135	251	329	87	217	104
Mark1	3	8	4	3	4	1
Mark2	1620	2149	1530	2038	1530	1765
Mark3	1065	1532	1172	1244	938	1187
Mark4	244	435	250	405	342	398
Mars	2695	3438	2895	3385	2944	2827
Mars2	342	439	376	325	218	257
Marveld1	456	525	289	375	1104	394
Marveld2	28	46	29	43	53	64
Marveld3	0	1	0	0	0	0
Mas1	0	2	1	0	0	0
Masp1	20	28	21	19	8	16
Masp2	188	262	174	152	90	164
Mast1	69	100	77	112	118	113
Mast2	1144	1523	1201	955	627	874
Mast3	906	1305	829	1082	927	937
Mast4	143	239	178	85	31	67
Mastl	271	380	320	388	180	302
Mat1a	2	5	10	9	7	4
Mat2a	3375	4190	3756	3654	2892	2770
Mat2b	783	963	936	1286	1212	1169
Matk	97	158	77	118	229	132
Matn1	1	5	1	9	11	3
Matn2	13	34	14	23	22	26
Matn3	0	0	0	1	3	0
Matn4	0	3	0	0	0	0
Matr3	2394	3289	3230	3253	2536	2837
Mau2	1138	1664	1179	1255	860	1070
Mavs	664	956	768	1444	1122	1212
Max	1010	1524	1245	1470	1407	1452
Maz	4906	6450	4834	5150	5854	5194
Mb	0	0	0	0	0	0
Mbd1	917	1188	930	1184	780	985
Mbd2	1648	2256	2006	1728	1701	1691
Mbd3	1824	2655	1908	2815	3205	2644
Mbd3l1	0	1	0	0	0	0
Mbd3l2	0	0	0	1	0	0
Mbd4	264	311	277	369	240	343
Mbd5	176	237	165	222	100	169
Mbd6	1109	1544	962	1328	1021	1279
Mbip	141	156	156	167	165	161
Mbl1	3	10	13	15	10	13
Mbl2	1	0	0	0	3	0
Mblac1	63	79	44	72	98	64
Mblac2	37	50	29	128	108	101
Mbnl1	6113	6653	5773	9236	5844	7501
Mbnl2	372	564	404	557	354	450
Mbnl3	1050	1215	1114	928	564	700
Mboat1	92	154	120	184	202	154
Mboat2	168	137	176	219	214	253
Mboat4	0	1	0	1	0	0
Mboat7	496	701	479	738	645	603
Mbp	1178	1505	1175	1182	922	1080
Mbtd1	892	1286	1023	1011	596	830
Mbtps1	1435	1943	1476	1951	1277	1535
Mbtps2	308	549	407	420	266	305
Mc1r	4	2	0	6	9	4
Mc2r	21	22	28	39	24	35
Mc3r	3	4	7	0	0	0
Mc4r	1	0	0	0	0	0
Mc5r	45	110	57	29	13	21
Mcam	54	80	45	36	39	43
Mcart1	1929	2698	2241	2371	1783	1930
Mcart6	27	41	40	21	24	29
